ID Product Backlog;Enunciado;D/Tarea;Responsable (Owner);Estado (Status);Horas Estimadas;Día 1 (Cons.);Día 1 (Rest.);Día 2 (Cons.);Día 2 (Rest.);Total Consumido;Total Restante
HU-AGC-03;Como usuario, quiero gestionar mis citas (cancelar o reprogramar) para adaptar la agenda de la clínica.;T-17: Implementación de cancelación y reprogramación de citas;Santiago Romero;Por hacer;24;0;24;0;24;0;24
HU-AGC-04;Como usuario, quiero recibir notificaciones y recordatorios de mis citas para evitar inasistencias.;T-18: Desarrollo de sistema de recordatorios automáticos (24h antes);Eliel Berrio;Por hacer;16;0;16;0;16;0;16
HU-AGC-05;Como médico, quiero actualizar el estado de la cita (Atención, Completada, etc.) para rastrear el flujo de pacientes.;T-19: Panel de actualización de estados de cita en tiempo real;Santiago Romero;Por hacer;20;0;20;0;20;0;20
HU-HCE-01;Como médico, quiero registrar y consultar prescripciones médicas para mantener un control riguroso del tratamiento.;T-20: Módulo de registro y consulta de prescripciones médicas;Eliel Berrio;Por hacer;24;0;24;0;24;0;24
HU-HCE-02;Como médico, quiero gestionar la historia clínica completa (evolución y observaciones) para tomar decisiones informadas.;T-21: Gestión de historia clínica y línea de tiempo de evolución;Santiago Romero;Por hacer;32;0;32;0;32;0;32
HU-HCE-03;Como médico, quiero adjuntar documentos y archivos (PDF, imágenes) a la historia clínica para complementar la evidencia diagnóstica.;T-22: Implementación de adjuntos de archivos (PDF, imágenes, DICOM);Eliel Berrio;Por hacer;20;0;20;0;20;0;20
HU-HCE-04;Como paciente, quiero consultar mi propia historia clínica para tener control sobre mi salud.;T-23: Portal de consulta de historia clínica para el paciente;Santiago Romero;Por hacer;16;0;16;0;16;0;16
HU-FAP-01;Como administrativo, quiero generar recibos de pago automáticamente al terminar una consulta para agilizar la facturación.;T-24: Generación automática de recibos de pago al completar cita;Eliel Berrio;Por hacer;16;0;16;0;16;0;16
